url_origem,regra_wcag_id,titulo_erro,seletor_css,snippet_html
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/planejamento/plano-diretor-de-logistica-sust…"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/orcamento/anotacoes-tecnicas"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/orcamento/bolsas"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/orcamento/documentos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/orcamento/manuais"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/orcamento/portaria-de-execucao-orcamentaria"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/orcamento/receita-propria-arrecadacao"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/orcamento/relatorios"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contabilidade/bolsas"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contabilidade/pagamentos-a-fornecedores"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contabilidade/demonstracoes-contabeis"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/atas-de-registro-de-preco"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/adesao-ao-registro-de-precos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/carta-convite"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/chamada-publica"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/concorrencia-publica"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/dispensa-de-licitacao"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/leilao"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/inexigibilidade-de-licitacao"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/pregoes-eletronicos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/regime-diferenciado-de-contratacao"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/tomadas-de-precos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/credenciamentos-1"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/resultados-de-licitacoes"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/portarias-de-pregoeiros"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/acompanhamento-de-atas-de-registr…"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/planos-de-contratacoes-anuais-pca"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/licitacoes/pareceres-referenciais-pgf"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contratos/consultar"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contratos/fundepes"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contratos/obras-e-servicos-de-engenharia"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contratos/servicos-continuados-c-mao-de-obra"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contratos/servicos-nao-continuados"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/contratos/fundacao-parque-tecnologico-pb"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/parcerias/acordos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/parcerias/termos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/parcerias/protocolos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/parcerias/estagios"">"
