antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'link-name'}),"frozenset({'accesskeys', 'target-size'})",0.48514851485148514,0.05198019801980198,0.05198019801980198,0.10714285714285714,2.061224489795918,1.0,0.02676208214880894,1.0617821782178216,1.0,0.10714285714285712,0.05818724356583364,0.5535714285714286
"frozenset({'accesskeys', 'target-size'})",frozenset({'link-name'}),0.05198019801980198,0.48514851485148514,0.05198019801980198,1.0,2.061224489795918,1.0,0.02676208214880894,inf,0.5430809399477807,0.10714285714285712,1.0,0.5535714285714286
"frozenset({'button-name', 'landmark-one-main'})",frozenset({'link-name'}),0.07425742574257425,0.48514851485148514,0.07425742574257425,1.0,2.061224489795918,1.0,0.03823154592686991,inf,0.5561497326203209,0.15306122448979592,1.0,0.576530612244898
"frozenset({'button-name', 'heading-order'})",frozenset({'link-name'}),0.0891089108910891,0.48514851485148514,0.0891089108910891,1.0,2.061224489795918,1.0,0.0458778551122439,inf,0.5652173913043478,0.1836734693877551,1.0,0.5918367346938775
"frozenset({'button-name', 'color-contrast'})",frozenset({'link-name'}),0.10643564356435643,0.48514851485148514,0.10643564356435643,1.0,2.061224489795918,1.0,0.05479854916184688,inf,0.5761772853185596,0.2193877551020408,1.0,0.6096938775510204
"frozenset({'heading-order', 'image-alt'})",frozenset({'link-name'}),0.10148514851485149,0.48514851485148514,0.10148514851485149,1.0,2.061224489795918,1.0,0.05224977943338889,inf,0.5730027548209367,0.20918367346938777,1.0,0.6045918367346939
"frozenset({'target-size', 'button-name', 'color-contrast'})",frozenset({'link-name'}),0.054455445544554455,0.48514851485148514,0.054455445544554455,1.0,2.061224489795918,1.0,0.028036467013037938,inf,0.5445026178010471,0.11224489795918366,1.0,0.5561224489795918
frozenset({'link-name'}),"frozenset({'target-size', 'button-name', 'color-contrast'})",0.48514851485148514,0.054455445544554455,0.054455445544554455,0.11224489795918367,2.061224489795918,1.0,0.028036467013037938,1.0650961647888926,1.0,0.11224489795918366,0.061117640773586925,0.5561224489795918
frozenset({'link-name'}),"frozenset({'heading-order', 'image-alt'})",0.48514851485148514,0.10148514851485149,0.10148514851485149,0.20918367346938777,2.061224489795918,1.0,0.05224977943338889,1.1361865218779943,1.0,0.20918367346938777,0.11986282116152246,0.6045918367346939
"frozenset({'button-name', 'heading-order', 'image-alt'})",frozenset({'link-name'}),0.054455445544554455,0.48514851485148514,0.054455445544554455,1.0,2.061224489795918,1.0,0.028036467013037938,inf,0.5445026178010471,0.11224489795918366,1.0,0.5561224489795918
frozenset({'link-name'}),"frozenset({'button-name', 'heading-order', 'image-alt'})",0.48514851485148514,0.054455445544554455,0.054455445544554455,0.11224489795918367,2.061224489795918,1.0,0.028036467013037938,1.0650961647888926,1.0,0.11224489795918366,0.061117640773586925,0.5561224489795918
frozenset({'frame-title'}),frozenset({'link-name'}),0.10643564356435643,0.48514851485148514,0.10396039603960396,0.9767441860465116,2.0132890365448506,1.0,0.0523233016370944,22.1386138613861,0.5632502308402585,0.2131979695431472,0.9548300536672629,0.5955149501661129
frozenset({'link-name'}),frozenset({'frame-title'}),0.48514851485148514,0.10643564356435643,0.10396039603960396,0.21428571428571427,2.0132890365448506,1.0,0.0523233016370944,1.1372637263726373,0.9775641025641025,0.2131979695431472,0.12069647803719824,0.5955149501661129
"frozenset({'landmark-one-main', 'image-alt'})",frozenset({'link-name'}),0.10148514851485149,0.48514851485148514,0.09900990099009901,0.975609756097561,2.0109507217521156,1.0,0.04977453190863641,21.108910891089092,0.559504132231405,0.20304568527918784,0.9526266416510318,0.5898456943753111
frozenset({'link-name'}),"frozenset({'landmark-one-main', 'image-alt'})",0.48514851485148514,0.10148514851485149,0.09900990099009901,0.20408163265306123,2.010950721752115,1.0,0.04977453190863641,1.128903274942879,0.9764423076923077,0.20304568527918784,0.11418451678191938,0.5898456943753111
frozenset({'link-name'}),"frozenset({'frame-title', 'color-contrast'})",0.48514851485148514,0.09900990099009901,0.09653465346534654,0.1989795918367347,2.0096938775510202,1.0,0.048500147044407416,1.124802926152488,0.9758382642998029,0.19796954314720813,0.11095537115945278,0.5869897959183673
"frozenset({'frame-title', 'color-contrast'})",frozenset({'link-name'}),0.09900990099009901,0.48514851485148514,0.09653465346534654,0.975,2.0096938775510202,1.0,0.048500147044407416,20.594059405940577,0.557621865314173,0.19796954314720813,0.9514423076923076,0.5869897959183673
